step          sigma             mu
444       0.626041       0.815877
445       0.623021       0.820878
446       0.625096       0.826436
447       0.625096       0.826436
448       0.622381       0.832379
449       0.619277       0.832191
450       0.625659       0.825569
451       0.625659       0.825569
452       0.631875       0.828151
453        0.62853       0.830279
454       0.628184        0.83566
455       0.628184        0.83566
456       0.633641       0.832473
457       0.633641       0.832473
458         0.6312       0.835952
459       0.625038       0.837373
460       0.626963       0.840178
461       0.626963       0.840178
462       0.622104       0.838697
463       0.617275        0.83403
464       0.617275        0.83403
465       0.619618       0.836324
466        0.61815       0.842049
467        0.62052       0.838619
468       0.620736        0.84185
469       0.618112       0.844772
470       0.619121       0.842404
471        0.62468       0.845869
472        0.62468       0.845869
473        0.62741       0.850388
474        0.62741       0.850388
475       0.632872       0.852585
476       0.632872       0.852585
477       0.636589       0.849875
478       0.633575       0.844854
479       0.633575       0.844854
480       0.631115       0.846815
481       0.625889       0.843575
482       0.625889       0.843575
483       0.624052       0.839981
484       0.624052       0.839981
485       0.625198       0.841929
486       0.628453       0.846119
487       0.628453       0.846119
488       0.624172       0.843553
489       0.624172       0.843553
490       0.618308       0.837285
491       0.620142       0.838887
492       0.622633       0.842827
493       0.617324       0.837079
494       0.612174        0.83939
495       0.609672       0.844467
496       0.608145       0.845245
497       0.608145       0.845245
498       0.605382       0.846607
499       0.604909        0.84228
500       0.605271       0.848635
501       0.610248       0.849243
502       0.610248       0.849243
503       0.615929       0.851606
504       0.616642       0.846477
505       0.613705       0.848991
506       0.613705       0.848991
507       0.613327       0.852789
508       0.613327       0.852789
509       0.617958       0.848917
510       0.613057       0.850634
511       0.619281       0.850472
512       0.614802        0.85509
513       0.614289       0.861603
514       0.617516         0.8555
515       0.617516         0.8555
516       0.617516         0.8555
517       0.619905       0.860486
518       0.618071       0.864462
519        0.62126       0.861446
520        0.62126       0.861446
521        0.62767       0.863161
522       0.623031       0.867164
523       0.623031       0.867164
524       0.617617       0.868344
525       0.617617       0.868344
526       0.621953       0.863112
527       0.627822        0.85689
528       0.633338       0.858789
529        0.63844       0.858708
530        0.63844       0.858708
531        0.64307        0.85508
532       0.648757       0.851505
533       0.648757       0.851505
534       0.651337       0.854206
535       0.649176       0.851301
536       0.654038        0.84932
537       0.659306       0.848929
538       0.659565       0.854282
539       0.656659       0.860623
540       0.654889       0.857642
541       0.657055       0.858084
542       0.652848       0.853605
543       0.649057       0.853719
544       0.642945        0.85472
545       0.642515       0.858135
546       0.644127       0.863355
547       0.647603       0.864052
548       0.650747       0.857451
549       0.654191       0.856788
550       0.652032       0.855448
551       0.652745       0.852919
552       0.652745       0.852919
553       0.649769       0.859084
554       0.649769       0.859084
555       0.646736       0.853308
556       0.646736       0.853308
557       0.646736       0.853308
558       0.642645       0.859189
559       0.649066       0.854718
560       0.649066       0.854718
561       0.652511        0.84865
562       0.650863       0.855083
563       0.650276       0.857183
564       0.649288       0.861365
565       0.651849       0.861563
566       0.653294       0.856283
567       0.653445       0.855221
568       0.653445       0.855221
569       0.656491       0.855071
570       0.656491       0.855071
571       0.656159       0.857074
572       0.656389       0.855828
573       0.656719       0.855079
574        0.65562       0.855547
575       0.662063       0.850559
576       0.662063       0.850559
577       0.666514       0.854438
578       0.671286       0.860967
579       0.667986       0.860811
580       0.665452       0.857669
581       0.663125       0.860697
582       0.666014       0.855456
583       0.664762       0.856173
584       0.664762       0.856173
585       0.669896       0.853237
586       0.669896       0.853237
587       0.671164       0.853722
588       0.671164       0.853722
589       0.675407       0.849964
590       0.676686       0.850849
591       0.676686       0.850849
592       0.671067       0.851934
593       0.671067       0.851934
594       0.671821        0.85471
595       0.671821        0.85471
596       0.667786       0.850638
597       0.664322       0.845412
598       0.659161       0.842825
599       0.659161       0.842825
600       0.659862       0.839826
601       0.658454       0.845216
602       0.658454       0.845216
603       0.656798       0.846964
604        0.65956       0.852787
605        0.65956       0.852787
606       0.661244       0.851116
607       0.661937       0.846938
608        0.65672       0.849391
609        0.65672       0.849391
610       0.653497       0.850667
611       0.648381       0.846941
612        0.64407       0.848239
613       0.638754       0.850417
614       0.638754       0.850417
615       0.637289       0.856534
616       0.634724       0.852073
617       0.637621       0.851879
618       0.637621       0.851879
619       0.631231       0.858476
620       0.629034       0.859966
621       0.624918       0.855671
622       0.628524       0.851437
623       0.629516       0.849739
624       0.632694       0.853636
625       0.632694       0.853636
626       0.631182       0.856736
627       0.626199       0.858548
628       0.626194       0.852392
629       0.627225       0.846344
630       0.627225       0.846344
631       0.626096       0.843838
632       0.626982       0.840162
633       0.626982       0.840162
634       0.622278       0.841616
635        0.62541       0.842095
636        0.62541       0.842095
637       0.624072       0.842149
638       0.629119       0.843549
639       0.629119       0.843549
640       0.627806       0.839355
641       0.627806       0.839355
642        0.62603       0.841305
643       0.620887       0.840855
644       0.616594        0.83713
645       0.621058       0.830577
646       0.618067       0.824953
647       0.622656       0.827511
648       0.618126       0.825537
649       0.613017       0.831813
650       0.609716       0.830834
651       0.615588       0.828158
652       0.615588       0.828158
653       0.621443       0.833109
654       0.627037       0.839148
655       0.627037       0.839148
656       0.632686        0.83314
657       0.632686        0.83314
658        0.63558       0.838026
659       0.632637       0.834972
660       0.638805       0.833462
661       0.635916       0.838407
662       0.635916       0.838407
663       0.631361       0.832738
664       0.631361       0.832738
665       0.637752       0.837283
666       0.634042       0.830847
667        0.63479       0.834052
668       0.640594       0.837645
669        0.63629        0.84142
670       0.633701       0.838813
671       0.638091       0.842046
672       0.636936       0.838516
673       0.632683       0.834417
674       0.630402       0.837371
675       0.630402       0.837371
676       0.632476       0.836934
677       0.634204       0.835497
678       0.640707       0.834583
679       0.636027       0.830314
680       0.640921       0.826681
681       0.636395       0.829695
682       0.636395       0.829695
683       0.633411       0.832587
684       0.632951        0.82722
685       0.632951        0.82722
686       0.632951        0.82722
687       0.632951        0.82722
688       0.635094       0.823411
689       0.633283       0.825544
690        0.63936       0.822008
691       0.635757       0.822748
692       0.635757       0.822748
693       0.634149       0.819979
694       0.631199       0.820619
695       0.633673       0.814287
696       0.630968       0.808976
697       0.626623       0.814208
698       0.621973       0.814922
699       0.616771        0.81326
700       0.614508       0.817128
701       0.614508       0.817128
702       0.610494       0.819678
703        0.61482       0.818661
704       0.611676       0.822834
705       0.608006       0.816833
706       0.603604        0.81074
707       0.600077       0.812285
708       0.599624       0.810191
709       0.603277       0.811353
710       0.603176       0.816165
711       0.600142       0.819972
712       0.605265       0.817917
713       0.607418       0.815106
714       0.613946       0.816351
715       0.614235       0.812334
716       0.614235       0.812334
717       0.609751       0.811747
718       0.608646        0.81461
719       0.605012       0.818591
720       0.605012       0.818591
721       0.611181       0.821037
722       0.613815       0.826032
723       0.613815       0.826032
724       0.607589       0.824739
725       0.611576       0.826829
726       0.611576       0.826829
727       0.614122       0.826803
728       0.614122       0.826803
729       0.619512       0.827572
730       0.615538       0.831562
731        0.61788       0.830182
732        0.61788       0.830182
733        0.61985       0.825404
734       0.621979       0.824747
735       0.622413       0.831252
736       0.620419       0.825379
737       0.620657       0.824457
738       0.620657       0.824457
739       0.619353       0.822361
740       0.615552       0.817863
741       0.611924        0.81691
742       0.611342       0.820572
743       0.611342       0.820572
744       0.608902       0.816153
745       0.606661       0.812036
746       0.606623        0.80678
747       0.611772       0.804873
748       0.611772       0.804873
749       0.617949       0.806726
750       0.614446       0.806422
751       0.609873       0.812607
752        0.61494       0.818004
753        0.61494       0.818004
754        0.61823       0.812516
755        0.61823       0.812516
756       0.618287       0.818494
757       0.618629       0.822534
758       0.612575       0.818549
759        0.61868       0.814968
760       0.612464       0.821158
761       0.612464       0.821158
762       0.612694       0.815015
763       0.612694       0.815015
764       0.606629        0.81683
765       0.601585        0.81625
766       0.601585        0.81625
767       0.600505       0.820218
768       0.601767       0.823094
769       0.601767       0.823094
770       0.595397       0.821825
771       0.595679       0.828217
772       0.595001       0.829145
773       0.592238       0.827393
774       0.593522       0.831232
775       0.592137       0.828924
776       0.588205        0.83154
777       0.585647       0.831026
778       0.585647       0.831026
779        0.57921       0.831818
780       0.578942       0.829368
781       0.579945       0.826311
782       0.585269       0.831786
783       0.580137       0.825691
784       0.580565       0.821076
785       0.576021       0.826371
786       0.576021       0.826371
787       0.574654       0.826497
788       0.574654       0.826497
789       0.575917       0.820957
790       0.575673       0.823691
791       0.570624       0.818245
792       0.572655        0.81332
793       0.572655        0.81332
794       0.575495       0.816823
795       0.580433       0.813002
796       0.582329       0.811158
797       0.584228       0.816777
798       0.589473          0.819
799       0.595556       0.823283
800       0.595556       0.823283
801       0.590866       0.824112
802       0.595433       0.819541
803       0.589046       0.818642
804       0.591223        0.81293
805       0.590469       0.807608
806        0.59156        0.80808
807        0.59156        0.80808
808       0.587563       0.810099
809       0.587563       0.810099
810       0.590256       0.804202
811       0.590304       0.805726
812       0.596705       0.811228
813       0.600725       0.811237
814       0.603774       0.817441
815       0.609404       0.812366
816       0.613383       0.812771
817       0.611051       0.809054
818       0.613887       0.807036
819        0.61537        0.80571
820       0.610074       0.803371
821       0.607781       0.800034
822       0.610083       0.805789
823       0.613442       0.808917
824       0.613442       0.808917
825       0.616653       0.813741
826       0.616653       0.813741
827       0.615348        0.81048
828       0.621474       0.808837
829       0.619892         0.8112
830        0.62095       0.810268
831       0.625452        0.80559
832       0.621346       0.802627
833       0.618749       0.798412
834       0.612852       0.801756
835       0.619425       0.803918
836       0.618553        0.81045
837       0.621266       0.815227
838       0.625499       0.810765
839       0.628422       0.804737
840       0.628422       0.804737
841        0.63423       0.806208
842       0.630047       0.803988
843       0.624207        0.80969
844       0.622887       0.806949
845       0.622887       0.806949
846       0.619758       0.810058
847       0.615023       0.804082
848       0.615023       0.804082
849       0.612387       0.806262
850       0.614851       0.811855
851       0.621138       0.816586
852       0.626305       0.821161
853       0.626305       0.821161
854       0.629924       0.822779
855       0.628566        0.82089
856        0.62197       0.826604
857       0.623209       0.831239
858       0.623209       0.831239
859        0.61779       0.827147
860        0.61779       0.827147
861        0.61779       0.827147
862       0.623623       0.827458
863       0.623623       0.827458
864       0.624251       0.821935
865       0.621472        0.81885
866       0.621472        0.81885
867       0.625806       0.814015
868       0.624489       0.812332
869       0.625658       0.814347
870       0.625094       0.807747
871       0.625094       0.807747
872       0.625094       0.807747
873       0.623329       0.810906
874       0.629745       0.813479
875         0.6288       0.810157
876       0.624259       0.812686
877        0.62994       0.817048
878       0.624265       0.815771
879       0.624265       0.815771
880       0.618951       0.813824
881        0.62097       0.809669
882       0.614634       0.805761
883       0.614634       0.805761
884       0.621008       0.807303
885       0.621008       0.807303
886       0.617656       0.808917
887       0.623246       0.814274
888       0.623246       0.814274
889       0.619878       0.817833
890       0.614074       0.822914
891       0.616359       0.819167
892       0.613198       0.817714
893       0.617528        0.82428
894       0.612311       0.830506
895       0.605975       0.830722
896       0.602472         0.8315
897       0.605117       0.835054
898        0.61107       0.834349
899        0.61328       0.831336
900       0.612062       0.836872
901       0.606446       0.840532
902       0.604658        0.84458
903       0.604658        0.84458
904        0.61065       0.845758
905        0.61065       0.845758
906       0.614893       0.840431
907       0.618727       0.842713
908       0.615993       0.839304
909       0.616631       0.838618
910       0.613716       0.836149
911       0.614868       0.833328
912        0.61954       0.830822
913        0.62392       0.837221
914        0.62392       0.837221
915       0.622803       0.842496
916       0.622209       0.842424
917        0.61745       0.836862
918        0.61943       0.831794
919        0.61943       0.831794
920       0.622198       0.835065
921       0.622688       0.836328
922       0.618371       0.836472
923       0.621243       0.835665
924       0.622246       0.838728
925       0.626746       0.837981
926       0.627514        0.83702
927       0.627278       0.834377
928       0.629228        0.83974
929       0.629228        0.83974
930       0.633687        0.84616
931       0.635802       0.842793
932        0.63453       0.841388
933        0.64111       0.841543
934       0.646806       0.844204
935        0.64818       0.843445
936       0.650661       0.844938
937       0.650661       0.844938
938       0.647039        0.84802
939       0.647039        0.84802
940       0.643707        0.85136
941       0.644364        0.85277
942       0.646739       0.848327
943       0.643587         0.8482
944       0.643587         0.8482
945       0.640983       0.853983
946       0.636142       0.858699
947       0.636142       0.858699
948       0.636142       0.858699
949       0.634599       0.854205
950       0.634599       0.854205
951       0.631351       0.852028
952       0.628843       0.852664
953       0.632395       0.851502
954       0.632456        0.84645
955        0.63502       0.840692
956       0.633716       0.846462
957       0.632949       0.842604
958       0.639339       0.838586
959       0.640802       0.842406
960       0.642141       0.841519
961       0.642736        0.83827
962       0.642736        0.83827
963          0.645       0.837467
964        0.64876       0.833298
965       0.646649       0.829661
966       0.647688       0.834779
967        0.64364        0.83894
968       0.640927        0.83386
969       0.640927        0.83386
970       0.646029       0.836168
971        0.65216       0.836189
972        0.65216       0.836189
973       0.656346       0.836109
974       0.658137       0.836764
975       0.652113       0.841874
976       0.652113       0.841874
977       0.652405       0.844022
978       0.653115       0.841953
979       0.649916       0.846329
980       0.652686       0.847928
981       0.654609       0.847495
982       0.649772       0.846965
983       0.646811       0.841619
984         0.6415       0.847614
985       0.646599       0.850679
986       0.646599       0.850679
987       0.645033       0.850872
988       0.641771       0.849231
989       0.646085       0.854318
990        0.64624       0.856158
991        0.64624       0.856158
992       0.642198       0.852669
993       0.642198       0.852669
994       0.638896       0.858884
995       0.640054       0.862332
996       0.640054       0.862332
997         0.6423       0.857608
998         0.6423       0.857608
999       0.643787       0.858999
